t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,b1_hat,b2_hat,b3_hat,b4_hat
0.360000,0.189506,0.269862,0.729963,-0.507173,2.421677,0.277968,0.497554,4.800000,0.231422,-0.061953,0.540397,1.087662,0.608947,0.604817,0.623780,0.708811,1.603149,1.332223,1.769433,-35.779673,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000026,1.016593,1.010516,0.500000,0.162111,0.099419,0.200000,0.200000
0.370000,0.189506,0.269862,0.729963,-0.507173,2.421677,0.277968,0.497554,4.800000,0.237497,-0.055928,0.546617,1.094713,0.606135,0.600180,0.620120,0.701381,1.575584,1.306735,1.710898,-35.948520,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000028,1.016885,1.011831,0.500000,0.135866,0.127509,0.200000,0.200000
0.380000,0.207370,0.290579,0.717395,-0.459173,1.261713,3.532525,-2.694483,4.800000,0.243544,-0.049950,0.552799,1.101689,0.603254,0.595433,0.616366,0.693773,0.477588,4.639733,-1.664896,-34.915310,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.017172,1.013118,0.500000,0.109204,0.154395,0.200000,0.200000
0.390000,0.207370,0.290579,0.717395,-0.459173,1.261713,3.532525,-2.694483,4.800000,0.249562,-0.044019,0.558944,1.108588,0.600302,0.590578,0.612521,0.685990,0.450450,4.614937,-1.722497,-35.080001,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.018700,1.016051,0.500000,0.101715,0.200000,0.165717,0.200000
0.400000,0.212573,0.305259,0.693791,-0.430280,-0.091947,-0.250010,-2.876744,4.800000,0.255550,-0.038138,0.565049,1.115408,0.597282,0.585616,0.608585,0.678033,-0.904117,0.881361,-2.197914,-34.520249,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.020222,1.018962,0.500000,0.094406,0.200000,0.132232,0.200000
0.410000,0.212573,0.305259,0.693791,-0.430280,-0.091947,-0.250010,-2.876744,4.800000,0.261508,-0.032307,0.571115,1.122148,0.594194,0.580550,0.604558,0.669906,-0.930816,0.857274,-2.254545,-34.680618,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.020401,1.019299,0.500000,0.109092,0.200000,0.102392,0.200000
0.420000,0.212573,0.305259,0.693791,-0.430280,-0.091947,-0.250010,-2.876744,4.800000,0.267434,-0.026528,0.577140,1.128806,0.591038,0.575379,0.600441,0.661611,-0.957291,0.833546,-2.310678,-34.838766,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000030,1.020575,1.019618,0.500000,0.124709,0.200000,0.074336,0.200000
0.430000,0.206003,0.291370,0.681611,-0.382280,-1.099307,-2.331774,0.099777,4.800000,0.273328,-0.020800,0.583124,1.135380,0.587815,0.570106,0.596234,0.653149,-2.023745,-1.341026,0.488418,-33.794652,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000030,1.020744,1.019919,0.500000,0.141276,0.200000,0.048176,0.200000
0.440000,0.206003,0.291370,0.681611,-0.382280,-1.099307,-2.331774,0.099777,4.800000,0.279190,-0.015126,0.589065,1.141868,0.584525,0.564732,0.591939,0.644523,-2.049764,-1.364023,0.433304,-33.948238,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000031,1.020602,1.019477,0.500000,0.178693,0.173428,0.051973,0.200000
0.450000,0.201302,0.256298,0.698126,-0.334280,0.043235,-4.479669,2.915740,4.800000,0.285018,-0.009506,0.594962,1.148270,0.581170,0.559259,0.587555,0.635735,-0.956517,-3.709910,3.359824,-32.899486,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000033,1.020457,1.019014,0.500000,0.200000,0.147027,0.054863,0.200000
0.460000,0.201302,0.256298,0.698126,-0.334280,0.043235,-4.479669,2.915740,4.800000,0.290813,-0.003941,0.600815,1.154582,0.577749,0.553688,0.583084,0.626788,-0.982070,-3.732163,3.305762,-33.048357,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000033,1.020375,1.018557,0.500000,0.200000,0.089912,0.084704,0.200000
0.470000,0.201302,0.256298,0.698126,-0.334280,0.043235,-4.479669,2.915740,4.800000,0.296573,0.001568,0.606624,1.160805,0.574264,0.548021,0.578527,0.617684,-1.007385,-3.754039,3.252238,-33.194815,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000033,1.020290,1.018072,0.500000,0.200000,0.034116,0.110490,0.200000
0.480000,0.207118,0.227773,0.706062,-0.286280,0.890241,-1.531718,-0.903586,4.800000,0.302298,0.007019,0.612386,1.166935,0.570715,0.542260,0.573884,0.608425,-0.156374,-0.970206,-0.540703,-32.138824,0.957474,1.200000,1.200000,1.200000,0,1,1,1,1.000033,1.020203,1.017559,0.500000,0.200000,0.000000,0.132378,0.200000
0.490000,0.207118,0.227773,0.706062,-0.286280,0.890241,-1.531718,-0.903586,4.800000,0.307987,0.012412,0.618101,1.172973,0.567102,0.536406,0.569156,0.599015,-0.181208,-0.991319,-0.593128,-32.280346,1.086207,1.200000,1.200000,1.200000,0,1,1,1,1.000033,1.020093,1.016973,0.500000,0.200000,0.000000,0.128454,0.200000
0.500000,0.219319,0.226546,0.679250,-0.238280,1.484059,0.887654,-3.949255,4.800000,0.313640,0.017747,0.623769,1.178915,0.563428,0.530461,0.564343,0.589455,0.449026,1.401192,-3.958785,-31.219349,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000033,1.019979,1.016366,0.500000,0.200000,0.000000,0.124771,0.200000
0.510000,0.219319,0.226546,0.679250,-0.238280,1.484059,0.887654,-3.949255,4.800000,0.319256,0.023021,0.629388,1.184761,0.559691,0.524426,0.559447,0.579749,0.424685,1.380854,-4.010079,-31.355796,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000033,1.020263,1.016844,0.500000,0.190705,0.014391,0.125525,0.200000
